video_id,likes,replies,polarity,video_id,sentiment
--JinobXWPk,0.2,0.013333333333333334,0.03773690984390388,--JinobXWPk,Positive
--y69Ui8xwM,3.872852233676976,0.9896907216494846,0.17029045982654226,--y69Ui8xwM,Positive
-1fzGnFwz9M,8.75,0.205,0.136542445398017,-1fzGnFwz9M,Positive
-2hRYEFiPSA,1.457142857142857,0.09285714285714286,0.2398666656838529,-2hRYEFiPSA,Positive
-6Zc8Co2H3w,0.11,0.00375,0.2058024996263469,-6Zc8Co2H3w,Positive
-AJyaVduxCc,21.5765306122449,1.899234693877551,0.12800436818044839,-AJyaVduxCc,Positive
-Egtbs-go4Q,0.065,0.0,0.03683821473665223,-Egtbs-go4Q,Positive
-HGQJx5M8js,0.174,0.0,0.07037152925943106,-HGQJx5M8js,Positive
-Ifnaxi2LQg,0.19333333333333333,0.024444444444444446,0.11545236180672341,-Ifnaxi2LQg,Positive
-JmNKGfFj7w,0.126,0.002,0.08262827522728942,-JmNKGfFj7w,Positive
-LoSw4o2zDQ,1.9275,0.5425,0.2856938018578644,-LoSw4o2zDQ,Positive
-QL9dvmddYs,0.09,0.012,0.09118028459821426,-QL9dvmddYs,Positive
-_Q5kO4YXFs,0.8533333333333334,0.06666666666666667,0.1886601443681429,-_Q5kO4YXFs,Positive
-abYDzdg5Vg,2.635437881873727,0.22810590631364563,0.33726915926063106,-abYDzdg5Vg,Positive
-c_FsbYR8Q4,27.855,1.62,0.16822457978219701,-c_FsbYR8Q4,Positive
-eTpw0X9FRQ,0.5333333333333333,0.26666666666666666,0.15499999999999997,-eTpw0X9FRQ,Positive
-f-gdt9p-k0,0.12,0.015714285714285715,0.03704989574567066,-f-gdt9p-k0,Positive
-fbsJZZ2KMw,0.20714285714285716,0.01,0.044647375219027,-fbsJZZ2KMw,Positive
-jFgNreZPf0,0.12714285714285714,0.027142857142857142,0.15643281085337418,-jFgNreZPf0,Positive
-p6WWRarjNs,0.085,0.005,0.11861055206741793,-p6WWRarjNs,Positive
-q47sHA4eAo,18.3,2.645,0.0402473601636603,-q47sHA4eAo,Positive
-rwylqSsN0I,4.87719298245614,0.08771929824561403,0.05995718462823728,-rwylqSsN0I,Positive
-uRgjsiPEeM,3.9411764705882355,1.5828877005347595,0.04474223229236597,-uRgjsiPEeM,Positive
-vjLBmZHWgE,0.1625,0.04,0.30888969454396825,-vjLBmZHWgE,Positive
-w9EFpyESSU,3.7823129251700682,0.12244897959183673,0.14576152600706174,-w9EFpyESSU,Positive
-yKW9NG2yNc,0.1,0.01,0.19703855763738568,-yKW9NG2yNc,Positive
-zCYX0esYlo,0.06516290726817042,0.015037593984962405,0.071993775624728,-zCYX0esYlo,Positive
03IUgOd4GH4,193.31333333333333,5.008333333333334,0.10715292828419047,03IUgOd4GH4,Positive
05v4nfUmBYI,0.3983333333333333,0.008333333333333333,0.23459724531562684,05v4nfUmBYI,Positive
07VBLa4RMKs,0.88,0.14,0.0402991879580115,07VBLa4RMKs,Positive
07v6qA2l3n4,0.26,0.022,0.37153605525475025,07v6qA2l3n4,Positive
08RHSZvixec,0.04,0.03,0.04596336716734442,08RHSZvixec,Positive
09xOyqOO1Eg,0.51,0.04,0.16495611218208875,09xOyqOO1Eg,Positive
0AaApxaD170,5.214,0.066,0.1744844301459534,0AaApxaD170,Positive
0Ac0Q7iL_T4,0.098,0.002,0.22540435061156597,0Ac0Q7iL_T4,Positive
0G9L9QKTSQM,0.6766666666666666,0.011666666666666667,-0.07343167517480476,0G9L9QKTSQM,Negative
0H3MirHyX2w,0.218,0.036,0.08477280045351478,0H3MirHyX2w,Positive
0HrxgjmzXUs,1.28,0.036,0.21580435476744436,0HrxgjmzXUs,Positive
0IkPBqbfzg4,0.06666666666666667,0.0033333333333333335,0.41186670688603744,0IkPBqbfzg4,Positive
0Jjm3d_7N6A,3.7777777777777777,0.2676767676767677,0.3484684514419362,0Jjm3d_7N6A,Positive
0KLFeWlJtvY,3.7775,0.08,0.3571278641844264,0KLFeWlJtvY,Positive
0Pz7DnHikLU,0.056666666666666664,0.0016666666666666668,0.10633042581247563,0Pz7DnHikLU,Positive
0QgTwwloZL8,1.9816666666666667,0.9716666666666667,0.01310493412899746,0QgTwwloZL8,Positive
0Rb2rr1vWpI,0.29,0.02,0.11537266639610388,0Rb2rr1vWpI,Positive
0VfGA5bE1AQ,0.0875,0.0,0.16960245535714286,0VfGA5bE1AQ,Positive
0Vwyu5kzA_U,1.9774436090225564,0.24812030075187969,0.2301011132199535,0Vwyu5kzA_U,Positive
0bcHEsmmpzU,0.14333333333333334,0.011666666666666667,0.07552550473735371,0bcHEsmmpzU,Positive
0dWj2k4FMM8,0.14714285714285713,0.004285714285714286,0.12827712434721358,0dWj2k4FMM8,Positive
0eKdNcP4xrM,0.14794215795328142,0.014460511679644048,0.20908972354528957,0eKdNcP4xrM,Positive
0hLx_1Q15eY,0.12274774774774774,0.021396396396396396,0.061755132770757795,0hLx_1Q15eY,Positive
0lDRz8qmXpE,0.215,0.058333333333333334,0.08961878953242286,0lDRz8qmXpE,Positive
0oxHdtCw3Ns,0.295,0.035,0.11892356185481186,0oxHdtCw3Ns,Positive
0ptNpGfMRCg,0.06857142857142857,0.02142857142857143,0.07153729735751699,0ptNpGfMRCg,Positive
0pwttmAYCTw,0.15428571428571428,0.008571428571428572,0.24850222237253466,0pwttmAYCTw,Positive
0q12l9wH1No,2.642,0.09,0.4395843536445459,0q12l9wH1No,Positive
0qfgZJNCCJQ,0.15,0.018,0.1290026809388529,0qfgZJNCCJQ,Positive
0uUFf8IomLg,5.913621262458472,0.19269102990033224,0.17531533296898752,0uUFf8IomLg,Positive
0wEHhsvyia0,0.174,0.054,0.055459890973224346,0wEHhsvyia0,Positive
10y7JdXctTU,4.573333333333333,0.3466666666666667,-0.04647467116217116,10y7JdXctTU,Negative
11S5tcT2Tm0,0.2,0.02666666666666667,0.32305254548549883,11S5tcT2Tm0,Positive
